theta_deg,torque_total_Nm,torque_drive_only_Nm,torque_stop_isolated_Nm
90.0000,0,0,0
90.1000,-0.017466782962110353,-0.00001349044216814374,-0.01745329251994221
90.2000,-0.03493356592422293,-0.000026980884336289194,-0.03490658503988664
90.3000,-0.052400348886333284,-0.00004047132650443293,-0.05235987755982885
90.4000,-0.06986713184844585,-0.00005396176867257839,-0.06981317007977328
90.5000,-0.0873339148105562,-0.00006745221084072212,-0.08726646259971549
90.6000,-0.10480069777266879,-0.00008094265300886759,-0.10471975511965992
90.7000,-0.12226748073478136,-0.00009443309517701304,-0.12217304763960435
90.8000,-0.1397342636968895,-0.00010792353734515507,-0.13962634015954434
90.9000,-0.15720104665900428,-0.00012141397951330224,-0.157079632679491
91.0000,-0.17466782962111466,-0.00013490442168144598,-0.1745329251994332
91.1000,-0.192134612583225,-0.00014839486384958972,-0.1919862177193754
91.2000,-0.2096013955453398,-0.00016188530601773688,-0.20943951023932206
91.3000,-0.22706817850745015,-0.00017537574818588062,-0.22689280275926427
91.4000,-0.2445349614695605,-0.00018886619035402436,-0.24434609527920648
91.5000,-0.26200174443167085,-0.0002023566325221681,-0.2617993877991487
91.6000,-0.2794685273937812,-0.00021584707469031185,-0.2792526803190909
91.7000,-0.296935310355896,-0.00022933751685845903,-0.29670597283903755
91.8000,-0.31440209331800634,-0.00024282795902660274,-0.31415926535897976
91.9000,-0.3318688762801167,-0.0002563184011947465,-0.33161255787892197
92.0000,-0.3493356592422271,-0.00026980884336289023,-0.3490658503988642
92.1000,-0.36680244220433966,-0.0002832992855310357,-0.3665191429188086
92.2000,-0.38426922516645223,-0.0002967897276991811,-0.38397243543875303
92.3000,-0.4017360081285626,-0.00031028016986732487,-0.40142572795869524
92.4000,-0.41920279109067515,-0.00032377061203547034,-0.4188790204786397
92.5000,-0.4366695740527855,-0.0003372610542036141,-0.4363323129985819
92.6000,-0.45413635701489585,-0.00035075149637175783,-0.4537856055185241
92.7000,-0.47160313997701064,-0.000364241938539905,-0.47123889803847074
92.8000,-0.489069922939121,-0.0003777323807080487,-0.48869219055841295
92.9000,-0.5065367059012336,-0.0003912228228761942,-0.5061454830783574
93.0000,-0.5240034888633417,-0.0004047132650443362,-0.5235987755982974
93.1000,-0.541470271825452,-0.00041820370721247995,-0.5410520681182396
93.2000,-0.5589370547875668,-0.0004316941493806271,-0.5585053606381862
93.3000,-0.5764038377496772,-0.00044518459154877085,-0.5759586531581284
93.4000,-0.593870620711792,-0.00045867503371691806,-0.5934119456780751
93.5000,-0.6113374036739023,-0.00047216547588506175,-0.6108652381980173
93.6000,-0.6288041866360127,-0.0004856559180532055,-0.6283185307179595
93.7000,-0.646270969598123,-0.0004991463602213493,-0.6457718232379017
93.8000,-0.6637377525602334,-0.000512636802389493,-0.6632251157578439
93.9000,-0.6812045355223483,-0.0005261272445576401,-0.6806784082777906
94.0000,-0.6986713184844586,-0.0005396176867257839,-0.6981317007977328
94.1000,-0.716138101446569,-0.0005531081288939276,-0.715584993317675
94.2000,-0.7336048844086793,-0.0005665985710620714,-0.7330382858376172
94.3000,-0.7510716673707919,-0.0005800890132302168,-0.7504915783575616
94.4000,-0.7685384503329045,-0.0005935794553983623,-0.7679448708775061
94.5000,-0.7860052332950148,-0.000607069897566506,-0.7853981633974483
94.6000,-0.8034720162571274,-0.0006205603397346515,-0.8028514559173927
94.7000,-0.8209387992192377,-0.0006340507819027953,-0.8203047484373349
94.8000,-0.8384055821813481,-0.000647541224070939,-0.8377580409572771
94.9000,-0.8558723651434629,-0.0006610316662390861,-0.8552113334772238
95.0000,-0.8733391481055732,-0.0006745221084072299,-0.872664625997166
95.1000,-0.8908059310676836,-0.0006880125505753736,-0.8901179185171082
95.2000,-0.9082727140297939,-0.0007015029927435174,-0.9075712110370504
95.3000,-0.9257394969919043,-0.0007149934349116611,-0.9250245035569926
95.4000,-0.9432062799540146,-0.0007284838770798049,-0.9424777960769348
95.5000,-0.9606730629161294,-0.000741974319247952,-0.9599310885968815
95.6000,-0.9781398458782398,-0.0007554647614160957,-0.9773843811168237
95.7000,-0.9956066288403501,-0.0007689552035842395,-0.9948376736367659
95.8000,-1.0130734118024627,-0.0007824456457523849,-1.0122909661567103
