theta_deg,torque_Nm
0.0000,0.01214139795133012
0.2500,0.01210767184590976
0.5000,0.012073945740489398
0.7500,0.012040219635069035
1.0000,0.012006493529648674
1.2500,0.011972767424228314
1.5000,0.011939041318807953
1.7500,0.01190531521338759
2.0000,0.011871589107967229
2.2500,0.011837863002546868
2.5000,0.011804136897126507
2.7500,0.011770410791706145
3.0000,0.011736684686285782
3.2500,0.011702958580865421
3.5000,0.01166923247544506
3.7500,0.011635506370024699
4.0000,0.011601780264604337
4.2500,0.011568054159183976
4.5000,0.011534328053763615
4.7500,0.011500601948343254
5.0000,0.011466875842922893
5.2500,0.01143314973750253
5.5000,0.011399423632082168
5.7500,0.011365697526661807
6.0000,0.011331971421241446
6.2500,0.011298245315821083
6.5000,0.011264519210400724
6.7500,0.011230793104980362
7.0000,0.011197066999560001
7.2500,0.011163340894139638
7.5000,0.011129614788719277
7.7500,0.011095888683298916
8.0000,0.011062162577878554
8.2500,0.011028436472458193
8.5000,0.01099471036703783
8.7500,0.010960984261617469
9.0000,0.010927258156197108
9.2500,0.010893532050776748
9.5000,0.010859805945356387
9.7500,0.010826079839936024
10.0000,0.010792353734515663
10.2500,0.010758627629095302
10.5000,0.01072490152367494
10.7500,0.01069117541825458
11.0000,0.010657449312834216
11.2500,0.010623723207413855
11.5000,0.010589997101993494
11.7500,0.010556270996573133
12.0000,0.010522544891152771
12.2500,0.01048881878573241
12.5000,0.010455092680312049
12.7500,0.010421366574891688
13.0000,0.010387640469471325
13.2500,0.010353914364050964
13.5000,0.010320188258630602
13.7500,0.010286462153210241
14.0000,0.01025273604778988
14.2500,0.010219009942369517
14.5000,0.010185283836949157
14.7500,0.010151557731528796
15.0000,0.010117831626108435
15.2500,0.010084105520688074
15.5000,0.01005037941526771
15.7500,0.01001665330984735
16.0000,0.009982927204426988
16.2500,0.009949201099006625
16.5000,0.009915474993586264
16.7500,0.009881748888165903
17.0000,0.009848022782745542
17.2500,0.009814296677325182
17.5000,0.00978057057190482
17.7500,0.009746844466484458
18.0000,0.009713118361064097
18.2500,0.009679392255643736
18.5000,0.009645666150223374
18.7500,0.009611940044803011
19.0000,0.00957821393938265
19.2500,0.009544487833962289
19.5000,0.009510761728541928
19.7500,0.009477035623121568
20.0000,0.009443309517701205
20.2500,0.009409583412280844
20.5000,0.009375857306860483
20.7500,0.00934213120144012
21.0000,0.009308405096019759
21.2500,0.009274678990599397
21.5000,0.009240952885179036
21.7500,0.009207226779758675
22.0000,0.009173500674338312
22.2500,0.00913977456891795
22.5000,0.009106048463497591
22.7500,0.00907232235807723
23.0000,0.009038596252656869
23.2500,0.009004870147236506
23.5000,0.008971144041816145
23.7500,0.008937417936395783
24.0000,0.008903691830975422
24.2500,0.008869965725555061
24.5000,0.008836239620134698
24.7500,0.008802513514714337
25.0000,0.008768787409293976
25.2500,0.008735061303873614
25.5000,0.008701335198453255
25.7500,0.008667609093032892
26.0000,0.00863388298761253
26.2500,0.00860015688219217
26.5000,0.008566430776771806
26.7500,0.008532704671351445
27.0000,0.008498978565931084
27.2500,0.008465252460510723
27.5000,0.008431526355090362
27.7500,0.00839780024967
28.0000,0.008364074144249639
28.2500,0.008330348038829278
28.5000,0.008296621933408917
28.7500,0.008262895827988555
29.0000,0.008229169722568192
29.2500,0.008195443617147831
29.5000,0.00816171751172747
29.7500,0.008127991406307107
30.0000,0.008094265300886748
30.2500,0.008060539195466385
30.5000,0.008026813090046025
30.7500,0.007993086984625664
31.0000,0.007959360879205301
